id_unidad;blanco_y_nulo;FA;Otros;PLN;PLP;PNR;PSD;PUSC;votos;habilitados
00-1-10-04-1281;4;29;37;88;41;54;53;49;355;600
00-1-10-04-1282;8;18;21;82;41;88;46;30;334;600
00-1-10-04-1283;2;26;22;94;34;95;60;34;367;600
00-1-10-04-1284;2;26;38;60;45;84;58;31;344;600
00-1-10-04-1285;7;21;22;88;39;69;55;38;339;563
00-1-10-04-1286;4;35;25;81;42;53;51;44;335;563
00-1-10-04-1287;6;30;23;70;51;67;41;27;315;575
00-1-10-04-1288;3;30;23;89;31;75;66;25;342;575
00-1-10-04-1289;3;22;35;79;32;94;56;35;356;575
00-1-10-04-1290;6;21;17;81;48;86;51;42;352;575
00-1-10-04-1291;6;34;41;78;46;68;40;25;338;575
00-1-10-04-1292;1;21;18;87;36;82;52;24;321;575
00-1-10-04-1293;1;29;39;75;36;72;45;31;328;575
00-1-10-04-1294;3;28;18;87;36;82;55;34;343;578
00-1-10-05-1295;0;23;26;95;42;60;50;42;338;587
00-1-10-05-1296;2;32;30;78;55;69;49;40;355;587
00-1-10-05-1297;2;23;29;79;72;65;49;36;355;587
00-1-10-05-1298;5;33;28;80;50;64;39;41;340;587
00-1-10-05-1299;5;35;30;74;55;69;45;37;350;587
00-1-10-05-1300;1;38;28;80;56;56;53;29;341;587
00-1-10-05-1301;1;42;33;79;50;60;51;23;339;587
00-1-10-05-1302;4;27;19;75;57;71;43;47;343;587
00-1-10-05-1303;4;37;32;69;39;80;53;37;351;587
00-1-10-05-1304;4;37;28;74;30;71;63;27;334;591
00-1-10-05-1305;2;21;23;65;64;85;36;30;326;600
00-1-10-05-1306;4;33;25;58;45;82;51;31;329;600
00-1-10-05-1307;4;19;30;63;52;75;58;47;348;600
00-1-10-05-1308;5;27;32;59;48;83;52;41;347;600
00-1-10-05-1309;8;29;18;81;47;78;34;41;336;600
00-1-10-05-1310;4;33;31;64;28;79;45;39;323;600
00-1-10-05-1311;5;21;38;82;48;82;45;29;350;600
00-1-10-05-1312;2;21;28;75;43;75;39;48;331;600
00-1-10-05-1313;4;27;33;66;43;79;55;26;333;600
00-1-10-05-1314;6;14;28;65;36;87;51;30;317;600
00-1-10-05-1315;2;25;27;76;52;67;36;45;330;600
00-1-10-05-1316;3;23;31;66;47;83;45;35;333;600
00-1-10-05-1317;3;22;28;63;47;77;40;49;329;600
00-1-10-05-1318;2;26;36;51;46;101;43;45;350;600
00-1-10-05-1319;2;33;14;68;46;90;52;38;343;600
00-1-10-05-1320;6;28;23;69;34;84;46;44;334;600
00-1-10-05-1321;6;17;21;48;36;96;29;48;301;613
00-1-10-05-1322;7;14;23;70;16;92;44;35;301;613
00-1-10-05-1323;7;14;29;53;28;73;35;50;289;613
00-1-10-05-1324;8;22;31;58;30;58;33;44;284;613
00-1-10-05-1325;3;20;21;66;23;91;26;36;286;613
00-1-10-05-1326;8;14;23;53;22;73;27;44;264;613
00-1-10-05-1327;1;21;22;54;29;76;21;45;269;619
00-1-11-01-1328;1;55;19;113;76;30;83;34;411;615
00-1-11-01-1329;3;45;34;126;60;45;71;45;429;615
00-1-11-01-1330;1;64;31;127;66;30;84;45;448;615
00-1-11-01-1331;2;45;27;123;81;38;54;59;429;615
00-1-11-01-1332;4;31;18;130;72;52;67;36;410;615
00-1-11-01-1333;5;50;31;96;77;52;62;40;413;615
00-1-11-01-1334;8;60;25;110;89;44;57;36;429;615
00-1-11-01-1335;4;48;27;109;93;29;59;49;418;615
00-1-11-01-1336;3;51;25;127;80;49;58;51;444;615
00-1-11-01-1337;6;52;36;94;82;43;77;49;439;615
00-1-11-01-1338;1;45;26;125;77;43;53;53;423;615
00-1-11-01-1339;2;35;14;129;75;59;75;45;434;615
00-1-11-01-1340;0;60;32;111;69;31;82;29;414;615
00-1-11-01-1342;3;37;25;128;85;34;61;41;414;615
00-1-11-01-1343;4;45;29;147;69;36;62;44;436;615
00-1-11-01-1344;3;38;26;132;64;39;70;45;417;615
00-1-11-01-1345;1;45;32;141;73;36;74;40;442;615
00-1-11-01-1346;4;51;30;118;71;51;68;38;431;615
00-1-11-01-1347;1;46;32;132;84;51;59;45;450;628
00-1-11-01-1348;4;47;37;95;82;53;67;36;421;568
00-1-11-01-1349;5;52;35;79;85;55;61;40;412;568
00-1-11-01-1350;2;43;27;98;81;44;70;37;402;568
00-1-11-01-1351;2;47;34;78;60;61;75;34;391;568
00-1-11-01-1352;2;45;24;99;85;50;54;45;404;568
00-1-11-01-1353;1;53;21;106;71;49;61;48;410;568
00-1-11-01-1354;2;38;21;86;84;57;79;48;415;573
00-1-11-02-1355;6;44;19;103;79;46;63;33;393;576
00-1-11-02-1356;1;31;35;106;61;55;61;31;381;576
00-1-11-02-1357;7;36;37;103;69;52;45;48;397;576
00-1-11-02-1358;3;34;25;126;88;40;54;30;400;576
00-1-11-02-1359;2;40;23;128;67;35;66;44;405;576
00-1-11-02-1360;1;50;39;120;64;43;48;45;410;576
00-1-11-02-1361;5;39;28;112;58;44;57;56;399;576
00-1-11-02-1362;1;52;16;109;64;46;43;31;362;576
00-1-11-02-1363;5;32;23;115;62;50;58;42;387;584
00-1-11-02-1364;9;20;25;111;32;34;52;22;305;512
00-1-11-02-1365;3;29;24;97;33;34;27;24;271;512
00-1-11-03-1366;4;51;33;88;62;69;67;34;408;611
00-1-11-03-1367;1;35;31;110;50;57;74;47;405;611
00-1-11-03-1368;2;47;31;95;74;53;58;34;394;611
00-1-11-03-1369;6;43;26;82;71;63;72;48;411;611
00-1-11-03-1370;3;55;24;88;78;62;60;49;419;611
00-1-11-03-1371;2;43;21;84;60;61;69;40;380;611
00-1-11-03-1372;1;46;39;67;65;48;74;33;373;611
00-1-11-03-1373;2;36;34;98;72;54;68;31;395;611
00-1-11-03-1374;5;39;26;95;70;60;60;41;396;611
00-1-11-03-1375;1;48;32;85;75;53;69;33;396;611
00-1-11-03-1376;5;50;36;115;70;53;58;33;420;611
00-1-11-03-1377;2;46;23;92;92;57;55;30;397;611
00-1-11-03-1378;7;42;30;98;70;38;63;37;385;611
00-1-11-03-1379;4;46;23;99;57;61;55;38;383;611
00-1-11-03-1380;3;49;33;82;60;54;55;37;373;611
00-1-11-03-1381;5;34;33;115;69;67;66;37;426;611
00-1-11-03-1382;3;38;18;123;77;48;51;37;395;614
00-1-11-04-1383;1;45;33;91;74;45;74;43;406;603
00-1-11-04-1384;2;43;28;95;68;42;73;44;395;603
00-1-11-04-1385;2;49;26;131;68;46;72;39;433;603
00-1-11-04-1386;5;52;26;101;72;44;68;45;413;603
00-1-11-04-1387;3;56;31;91;73;51;72;33;410;603
00-1-11-04-1388;7;48;36;93;75;50;84;30;423;603
00-1-11-04-1389;0;43;26;128;54;51;81;28;411;603
00-1-11-04-1390;3;67;32;105;65;38;62;49;421;603
00-1-11-04-1391;2;55;33;94;94;59;58;31;426;603
00-1-11-04-1392;3;44;34;86;61;57;69;41;395;603
00-1-11-04-1393;1;54;19;82;86;55;59;57;413;603
00-1-11-04-1394;4;44;30;97;66;52;80;47;420;603
00-1-11-04-1395;2;54;24;107;88;35;66;43;419;603
00-1-11-04-1396;7;39;41;92;76;35;88;28;406;603
00-1-11-04-1397;3;37;24;114;91;37;65;30;401;603
00-1-11-04-1398;7;45;31;102;70;38;72;45;410;603
00-1-11-04-1399;1;61;31;105;82;42;84;31;437;603
00-1-11-04-1400;5;61;30;99;87;58;67;37;444;603
00-1-11-04-1401;4;38;26;88;70;58;72;35;391;603
00-1-11-04-1402;1;52;31;86;75;59;76;42;422;603
00-1-11-04-1403;2;46;27;115;78;44;69;41;422;603
00-1-11-04-1404;2;50;31;134;84;44;71;30;446;603
00-1-11-04-1405;2;66;25;119;83;32;68;33;428;603
00-1-11-04-1406;5;45;31;83;80;56;66;41;407;603
00-1-11-04-1407;1;52;28;117;65;33;83;45;424;603
00-1-11-04-1408;3;49;24;104;63;46;82;50;421;603
00-1-11-04-1409;3;47;35;98;80;41;72;44;420;603
00-1-11-04-1410;3;57;27;92;83;59;60;40;421;603
00-1-11-04-1411;6;47;36;117;74;41;69;46;436;618
00-1-11-05-1412;2;30;28;109;62;62;42;53;388;609
00-1-11-05-1413;5;46;19;83;62;48;63;45;371;609
00-1-11-05-1414;2;38;28;85;66;40;49;41;349;609
00-1-11-05-1415;5;39;33;95;60;40;44;64;380;609
00-1-11-05-1416;3;30;28;110;47;54;63;37;372;609
00-1-11-05-1417;1;44;22;98;55;55;44;43;362;609
00-1-11-05-1418;2;36;27;106;53;51;42;45;362;609
00-1-11-05-1419;3;32;34;104;60;53;48;42;376;610
00-1-11-05-1420;2;30;14;67;27;34;19;42;235;426
00-1-11-05-1421;4;25;26;57;32;36;27;45;252;427
00-1-12-01-1422;1;47;34;154;27;19;65;51;398;608
00-1-12-01-1423;3;47;42;119;29;24;81;74;419;608
00-1-12-01-1424;2;64;29;127;30;30;54;59;395;608
00-1-12-01-1425;11;58;33;103;29;21;60;78;393;608
00-1-12-01-1426;9;55;38;135;36;21;65;77;436;608
00-1-12-01-1427;1;40;20;119;33;39;59;61;372;608
00-1-12-01-1428;5;54;26;138;35;27;66;55;406;609
00-1-12-01-1429;4;37;27;95;15;23;74;64;339;563
00-1-12-01-1430;0;37;33;99;18;21;66;37;311;563
00-1-12-01-1431;2;39;27;132;9;21;81;67;378;506
00-1-12-01-1432;0;31;22;114;32;18;64;73;354;507
00-1-12-01-1433;5;43;20;172;18;23;59;43;383;562
00-1-12-01-1434;5;59;19;134;27;17;72;49;382;562
00-1-12-01-1435;4;51;24;112;33;30;52;81;387;563
00-1-12-01-1436;0;0;3;11;0;0;0;6;20;29
00-1-12-02-1437;1;12;16;90;3;15;27;18;182;316
00-1-12-02-1438;0;13;15;68;9;14;35;40;194;316
00-1-12-02-1439;4;2;6;46;1;9;14;7;89;173
00-1-12-02-1440;2;0;3;17;0;0;7;10;39;85
00-1-12-02-1441;8;23;30;96;14;16;24;48;259;407
00-1-12-02-1442;6;18;26;119;21;21;20;34;265;403
00-1-12-02-1443;5;19;30;104;28;22;21;34;263;404
00-1-12-03-1444;6;28;25;171;30;17;77;84;438;596
00-1-12-03-1445;6;28;14;116;30;42;51;73;360;580
00-1-12-03-1446;4;26;27;122;27;41;44;63;354;580
00-1-12-03-1447;3;25;18;112;21;48;54;71;352;580
00-1-12-03-1448;2;45;14;122;27;27;67;69;373;582
00-1-12-03-1449;3;4;9;51;4;16;13;49;149;228
00-1-12-03-1450;5;15;14;86;6;22;30;38;216;376
00-1-12-03-1451;8;18;12;144;8;12;22;31;255;436
00-1-12-04-1452;9;13;26;76;7;21;54;64;270;495
00-1-12-04-1453;9;13;35;64;17;11;35;43;227;422
00-1-12-04-1454;0;1;7;59;7;6;17;6;103;171
00-1-12-04-1455;0;1;2;24;3;4;16;23;73;149
00-1-12-04-1456;9;8;21;101;10;12;23;51;235;377
00-1-12-05-1457;7;8;11;77;4;19;14;39;179;359
00-1-12-05-1458;2;16;12;75;2;20;18;62;207;359
00-1-12-05-1459;7;9;15;45;1;28;22;28;155;310
00-1-12-05-1460;2;4;4;38;3;25;21;34;131;251
00-1-12-05-1461;0;2;3;28;1;3;1;4;42;103
00-1-12-05-1462;1;1;0;6;0;4;0;17;29;73
00-1-12-05-1463;1;0;3;22;2;0;5;29;62;106
00-1-12-05-1464;1;7;3;23;1;4;7;73;119;194
00-1-12-05-1465;7;12;10;52;0;8;10;20;119;207
00-1-13-01-1466;4;33;20;122;74;20;77;40;390;600
00-1-13-01-1467;6;43;16;115;59;35;70;34;378;600
00-1-13-01-1468;1;29;19;134;89;27;60;43;402;600
00-1-13-01-1469;1;57;17;121;67;31;75;41;410;600
00-1-13-01-1470;4;43;31;106;79;37;70;47;417;600
00-1-13-01-1471;4;52;26;121;58;43;59;37;400;600
00-1-13-01-1472;1;53;22;111;90;27;78;35;417;600
00-1-13-01-1473;1;45;18;112;66;24;81;41;388;600
00-1-13-01-1474;2;53;19;140;75;26;90;27;432;600
00-1-13-01-1475;1;32;31;139;82;33;61;32;411;600
00-1-13-01-1476;4;48;19;116;76;20;73;28;384;600
00-1-13-01-1477;3;43;25;125;87;42;62;36;423;600
00-1-13-01-1478;4;32;30;109;77;25;76;46;399;600
00-1-13-01-1479;3;34;22;120;70;41;72;27;389;600
00-1-13-01-1480;1;33;16;120;87;36;70;34;397;600
00-1-13-01-1481;1;46;16;117;74;29;83;42;408;600
00-1-13-01-1482;3;48;20;98;68;40;77;42;396;600
00-1-13-01-1483;3;52;34;112;73;36;65;29;404;600
00-1-13-01-1484;1;33;33;141;73;33;81;36;431;600
00-1-13-01-1485;2;44;33;104;100;36;63;31;413;600
00-1-13-01-1486;1;40;18;126;80;30;72;54;421;600
00-1-13-01-1487;4;36;26;128;76;24;75;35;404;600
00-1-13-01-1488;4;36;27;116;69;27;74;41;394;600
00-1-13-01-1489;4;48;33;104;77;32;76;41;415;600
00-1-13-01-1490;3;43;22;128;97;35;60;48;436;617
00-1-13-01-1491;4;30;35;106;78;41;59;38;391;600
00-1-13-01-1492;4;45;29;104;77;45;61;49;414;600
00-1-13-01-1493;1;39;17;99;89;28;73;52;398;600
00-1-13-01-1494;2;55;27;107;66;33;72;43;405;600
00-1-13-01-1495;5;49;25;103;80;35;55;45;397;600
00-1-13-01-1496;3;35;28;118;85;44;61;40;414;600
00-1-13-01-1497;5;52;18;101;70;63;71;31;411;600
00-1-13-01-1498;5;34;27;102;61;40;85;27;381;600
00-1-13-01-1499;5;49;24;90;66;44;91;32;401;600
00-1-13-01-1500;3;47;25;110;67;39;62;47;400;578
00-1-13-01-1501;4;36;34;74;88;40;72;46;394;578
00-1-13-02-1502;2;26;18;91;48;73;59;43;360;591
00-1-13-02-1503;1;22;18;90;59;43;45;47;325;591
00-1-13-02-1504;2;37;28;73;38;57;58;44;337;591
00-1-13-02-1505;2;25;21;72;38;49;63;40;310;591
00-1-13-02-1506;3;20;15;86;53;51;57;42;327;591
00-1-13-02-1507;1;19;22;75;44;48;50;49;308;591
00-1-13-02-1508;8;21;18;79;57;69;39;41;332;591
00-1-13-02-1509;5;24;18;102;56;53;50;41;349;591
00-1-13-02-1510;1;25;23;66;49;50;43;39;296;591
00-1-13-02-1511;5;28;22;68;43;57;65;61;349;591
00-1-13-02-1512;5;36;25;88;60;53;61;51;379;591
00-1-13-02-1513;2;24;16;76;50;40;61;34;303;591
00-1-13-02-1514;1;25;27;100;64;41;56;35;349;601
00-1-13-03-1515;4;34;26;129;87;31;81;44;436;613
00-1-13-03-1516;1;50;30;128;88;30;56;36;419;613
00-1-13-03-1517;2;61;26;119;87;31;60;49;435;613
00-1-13-03-1518;2;51;31;125;89;24;77;45;444;613
00-1-13-03-1519;2;32;27;102;92;41;78;48;422;613
00-1-13-03-1520;5;50;26;105;94;22;72;52;426;613
00-1-13-03-1521;2;35;29;110;105;32;71;29;413;613
00-1-13-03-1522;3;41;16;94;89;31;68;65;407;613
00-1-13-03-1523;4;43;16;134;72;46;79;31;425;613
00-1-13-03-1524;5;43;19;114;89;37;91;41;439;613
00-1-13-03-1525;2;42;27;126;94;31;84;29;435;613
00-1-13-03-1526;1;51;23;140;92;30;64;35;436;613
00-1-13-03-1527;3;41;28;120;77;34;75;47;425;613
00-1-13-03-1528;2;57;21;110;107;34;85;38;454;621
00-1-13-04-1529;3;15;31;73;31;88;36;44;321;617
00-1-13-04-1530;3;20;60;80;0;91;43;51;348;617
00-1-13-04-1531;4;17;15;64;28;87;52;43;310;617
00-1-13-04-1532;8;8;22;78;29;88;47;62;342;617
00-1-13-04-1533;4;18;25;72;23;103;24;37;306;617
00-1-13-04-1534;2;13;26;66;29;108;42;42;328;617
00-1-13-04-1535;3;31;26;63;27;81;34;44;309;617
00-1-13-04-1536;6;17;21;63;39;102;37;51;336;617
00-1-13-04-1537;2;16;26;50;31;98;28;57;308;617
00-1-13-04-1538;5;20;27;72;35;92;36;29;316;617
00-1-13-04-1539;2;16;26;63;33;99;42;54;335;617
00-1-13-04-1540;9;25;29;77;30;103;33;39;345;617
00-1-13-04-1541;5;33;24;62;34;84;37;38;317;623
00-1-13-05-1542;2;33;19;122;75;56;68;33;408;609
00-1-13-05-1543;4;41;29;128;65;50;68;24;409;609
00-1-13-05-1544;1;34;29;89;52;62;84;40;391;609
00-1-13-05-1545;2;37;26;98;58;51;69;39;380;609
00-1-13-05-1547;4;34;22;107;49;53;78;36;383;609
00-1-13-05-1548;3;55;33;104;59;51;56;40;401;614
00-1-13-05-1549;2;33;26;109;68;46;63;35;382;580
00-1-13-05-1550;0;42;27;105;90;43;58;32;397;580
00-1-13-05-1551;5;45;29;94;86;63;55;26;403;580
00-1-13-05-1552;3;40;27;91;78;51;64;28;382;580
00-1-13-05-1553;1;44;19;87;57;71;59;38;376;580
00-1-13-05-1554;2;31;27;117;69;62;54;36;398;580
00-1-13-05-1555;1;37;24;81;85;57;68;32;385;580
00-1-13-05-1556;2;37;24;103;83;47;62;33;391;580
00-1-13-05-1557;2;34;26;94;74;50;65;41;386;580
00-1-13-05-1558;5;51;34;107;70;46;51;34;398;580
00-1-13-05-1559;3;38;24;107;90;48;58;36;404;589
00-1-14-01-1560;1;40;27;111;101;22;91;35;428;603
00-1-14-01-1561;0;55;23;122;81;24;85;31;421;603
00-1-14-01-1562;4;58;24;118;102;31;66;32;435;603
00-1-14-01-1563;6;44;20;126;90;30;76;40;432;603
00-1-14-01-1564;3;62;19;117;103;30;67;42;443;603
00-1-14-01-1565;3;34;29;145;104;29;65;36;445;603
00-1-14-01-1566;4;58;27;121;93;28;78;29;438;603
00-1-14-01-1567;0;69;22;104;105;26;64;39;429;603
00-1-14-01-1568;2;48;13;116;105;20;75;33;412;603
00-1-14-01-1569;2;62;28;119;79;34;80;24;428;603
00-1-14-01-1570;1;75;24;110;106;30;73;29;448;603
00-1-14-01-1571;7;32;32;128;99;29;53;40;420;603
00-1-14-01-1572;2;46;23;113;98;25;78;40;425;603
00-1-14-01-1573;4;43;29;139;89;43;60;26;433;603
00-1-14-01-1574;0;42;29;125;91;41;57;35;420;603
00-1-14-01-1575;4;46;27;115;116;29;70;28;435;603
00-1-14-01-1576;2;53;24;114;112;24;85;32;446;603
00-1-14-01-1577;2;41;21;117;104;26;70;24;405;603
00-1-14-01-1578;3;62;25;123;84;21;61;36;415;603
00-1-14-01-1579;2;54;30;124;96;28;60;39;433;603
00-1-14-01-1580;1;62;21;118;94;23;63;40;422;603
00-1-14-01-1581;0;56;13;105;119;29;84;36;442;603
00-1-14-01-1582;3;54;25;120;113;31;55;40;441;603
00-1-14-01-1583;5;54;15;103;123;26;59;25;410;603
00-1-14-01-1584;3;49;24;136;82;25;68;29;416;603
00-1-14-01-1585;2;39;22;111;89;38;55;42;398;603
00-1-14-01-1586;0;43;19;125;119;27;70;32;435;603
00-1-14-01-1587;4;57;21;102;95;38;76;40;433;603
00-1-14-01-1588;2;51;27;122;104;18;65;45;434;603
00-1-14-01-1589;0;42;20;126;91;31;67;49;426;603
00-1-14-01-1590;4;61;17;123;104;30;69;28;436;603
00-1-14-01-1592;1;41;18;113;105;28;78;28;412;603
00-1-14-01-1593;2;39;15;98;94;35;77;38;398;603
00-1-14-01-1594;2;50;23;111;100;28;74;36;424;603
00-1-14-01-1595;0;45;23;131;83;31;81;42;436;603
00-1-14-01-1596;0;41;24;123;103;30;63;28;412;626
00-1-14-01-1597;0;0;1;7;0;1;1;0;10;28
00-1-14-01-1598;3;45;20;86;78;47;53;26;358;536
00-1-14-01-1599;5;44;31;106;70;53;60;27;396;536
00-1-14-01-1600;3;40;28;99;62;41;60;27;360;536
00-1-14-01-1601;4;35;24;92;71;47;52;33;358;536
00-1-14-01-1602;2;49;13;85;59;56;55;30;349;536
00-1-14-01-1603;4;42;22;96;83;35;62;33;377;536
00-1-14-01-1604;4;34;28;92;84;42;64;31;379;536
00-1-14-02-1605;1;32;25;100;49;37;47;38;329;501
00-1-14-02-1606;2;23;27;85;53;43;62;38;333;501
00-1-14-02-1607;6;25;23;90;59;40;48;42;333;501
00-1-14-02-1608;1;42;26;90;37;32;57;33;318;501
00-1-14-02-1609;1;26;19;110;58;35;58;42;349;504
00-1-14-02-1610;0;34;23;68;51;57;51;45;329;571
00-1-14-02-1611;2;25;23;78;54;54;69;52;357;571
00-1-14-02-1612;4;32;37;76;49;46;63;54;361;571
00-1-14-02-1613;0;53;29;82;61;37;62;56;380;574
00-1-14-03-1614;3;64;21;107;87;53;65;54;454;624
00-1-14-03-1615;3;50;28;112;83;57;64;33;430;624
00-1-14-03-1616;6;40;29;86;75;47;83;35;401;624
00-1-14-03-1617;2;45;29;91;73;48;74;40;402;624
00-1-14-03-1618;5;28;27;98;77;48;92;46;421;624
00-1-14-03-1619;7;48;28;86;83;42;76;46;416;624
00-1-14-03-1620;1;63;21;109;75;36;67;45;417;624
00-1-14-03-1621;3;48;30;114;61;59;55;53;423;624
00-1-14-03-1622;1;55;29;104;62;56;50;46;403;624
00-1-14-03-1623;0;37;33;114;69;53;73;39;418;624
00-1-14-03-1624;7;64;22;113;77;47;63;41;434;624
00-1-14-03-1625;2;54;21;103;71;54;65;35;405;624
00-1-14-03-1626;1;49;29;100;76;52;73;41;421;624
00-1-14-03-1627;5;66;29;94;79;33;75;49;430;624
00-1-14-03-1628;1;46;35;91;95;47;78;45;438;624
00-1-14-03-1629;5;44;25;89;78;38;74;56;409;624
00-1-14-03-1630;3;53;32;102;79;48;73;44;434;624
00-1-14-03-1631;6;54;27;99;83;48;67;40;424;625
00-1-14-03-1632;2;30;29;92;37;55;41;30;316;581
00-1-14-03-1633;1;23;37;100;52;64;48;35;360;581
00-1-14-03-1634;4;43;35;104;43;63;49;35;376;581
00-1-14-03-1635;4;31;21;129;52;44;42;50;373;581
00-1-14-03-1636;3;33;28;105;52;46;45;50;362;581
00-1-14-03-1637;0;36;19;105;63;58;59;28;368;581
00-1-15-01-1638;0;73;27;100;79;25;42;25;371;600
00-1-15-01-1640;5;76;23;125;86;18;46;22;401;600
00-1-15-01-1641;1;69;18;109;78;13;46;37;371;600
00-1-15-01-1642;7;81;23;119;76;21;46;30;403;600
00-1-15-01-1643;3;61;21;133;98;12;44;30;402;600
00-1-15-01-1644;3;71;24;127;82;15;49;29;400;600
00-1-15-01-1645;4;71;25;99;100;8;43;24;374;600
00-1-15-01-1646;1;67;29;113;74;20;46;35;385;600
00-1-15-01-1647;0;70;31;107;74;23;62;29;396;600
00-1-15-01-1648;3;72;19;108;90;16;33;30;371;600
00-1-15-01-1649;0;76;21;93;73;23;53;27;366;600
00-1-15-01-1650;2;90;22;99;73;18;49;25;378;600
00-1-15-01-1651;4;71;29;106;81;24;42;27;384;600
00-1-15-01-1652;1;70;21;117;87;15;44;39;394;600
00-1-15-01-1653;4;78;23;98;82;17;43;25;370;599
00-1-15-01-1654;6;69;31;86;76;35;62;42;407;600
00-1-15-01-1655;4;77;30;109;79;32;49;36;416;600
00-1-15-01-1656;3;69;27;133;70;20;63;49;434;600
00-1-15-01-1657;2;87;19;90;68;19;69;37;391;600
00-1-15-01-1658;5;79;29;121;84;22;61;19;420;600
00-1-15-01-1659;3;71;28;119;88;33;49;38;429;600
00-1-15-01-1660;0;71;24;114;80;16;63;31;399;600
00-1-15-01-1661;5;79;36;111;102;23;58;31;445;600
00-1-15-01-1662;7;72;30;85;74;30;58;47;403;600
00-1-15-01-1663;0;72;33;125;64;27;53;25;399;600
00-1-15-01-1664;1;76;20;115;89;17;58;35;411;600
00-1-15-01-1665;4;79;20;111;86;20;74;37;431;600
00-1-15-01-1666;3;66;21;129;89;27;55;34;424;600
00-1-15-01-1667;3;75;25;107;98;27;57;27;419;600
00-1-15-01-1668;3;67;30;118;78;28;58;31;413;600
00-1-15-01-1669;3;80;27;93;73;29;74;28;407;600
00-1-15-01-1670;3;84;22;107;86;34;59;36;431;600
00-1-15-01-1671;5;59;24;126;89;24;43;37;407;595
00-1-15-01-1672;1;86;25;101;72;24;70;18;397;595
00-1-15-01-1673;1;2;5;15;4;3;2;3;35;65
00-1-15-02-1674;0;72;28;119;84;15;69;41;428;603
00-1-15-02-1675;1;77;33;115;89;33;69;30;447;603
00-1-15-02-1676;2;78;26;112;95;19;59;41;432;603
00-1-15-02-1677;1;87;24;113;88;24;68;29;434;603
00-1-15-02-1678;1;68;27;137;83;26;57;43;442;603
00-1-15-02-1679;0;72;25;125;82;19;66;45;434;603
00-1-15-02-1680;2;70;25;117;90;19;60;34;417;603
00-1-15-02-1681;6;102;22;122;83;25;65;28;453;603
00-1-15-02-1682;1;80;22;120;91;26;60;44;444;603
00-1-15-02-1683;1;97;30;120;94;13;68;33;456;603
00-1-15-02-1684;5;78;22;100;96;23;74;45;443;603
00-1-15-02-1685;4;59;29;136;95;23;53;32;431;603
00-1-15-02-1686;4;79;32;107;87;26;57;43;435;603
00-1-15-02-1687;2;64;26;117;92;24;69;37;431;612
00-1-15-02-1688;7;55;22;103;87;27;40;46;387;528
00-1-15-02-1689;1;57;32;104;67;33;45;49;388;528
00-1-15-02-1690;2;46;28;113;84;26;64;41;404;528
00-1-15-02-1691;2;57;26;107;70;24;69;33;388;528
00-1-15-02-1692;2;62;31;119;88;24;59;29;414;528
00-1-15-02-1693;3;68;32;94;71;30;45;30;373;528
00-1-15-02-1694;2;59;36;100;91;22;56;28;394;530
00-1-15-03-1695;3;74;26;120;57;22;49;30;381;546
00-1-15-03-1696;2;87;31;106;60;22;51;39;398;546
00-1-15-03-1697;3;95;25;108;60;8;47;28;374;546
00-1-15-03-1698;3;101;23;107;62;23;44;43;406;546
00-1-15-03-1699;0;91;23;109;66;18;53;39;399;548
00-1-15-04-1700;3;50;34;109;100;30;58;38;422;600
00-1-15-04-1701;0;62;22;109;97;28;64;37;419;600
00-1-15-04-1702;2;62;41;92;68;31;65;47;408;600
00-1-15-04-1703;1;61;28;116;98;30;49;31;414;600
00-1-15-04-1704;2;55;26;85;75;34;66;57;400;600
00-1-15-04-1705;6;45;22;127;83;28;68;26;405;600
00-1-15-04-1706;1;61;22;102;76;31;59;31;383;600
00-1-15-04-1707;1;52;20;132;93;36;49;34;417;600
00-1-15-04-1708;3;49;21;108;72;33;70;38;394;600
00-1-15-04-1709;2;61;32;79;75;35;46;38;368;600
00-1-15-04-1710;0;45;27;105;65;31;72;38;383;573
00-1-15-04-1711;1;58;19;95;78;25;61;35;372;573
00-1-16-01-1712;0;5;26;116;18;22;47;50;284;486
00-1-16-01-1713;6;6;24;116;21;11;43;71;298;486
00-1-16-01-1714;1;17;15;95;15;21;53;62;279;486
00-1-16-02-1715;4;15;11;141;32;15;63;88;369;522
00-1-16-03-1716;4;11;11;83;8;18;54;41;230;421
00-1-16-03-1717;5;5;15;111;9;29;70;45;289;638
00-1-16-04-1718;2;2;5;20;3;3;2;35;72;112
00-1-16-04-1719;0;2;4;7;3;1;6;28;51;76
00-1-16-04-1720;4;3;4;70;4;1;6;22;114;213
00-1-16-04-1721;3;1;2;15;1;5;2;13;42;75
00-1-16-05-1722;8;2;4;102;0;14;18;17;165;298
00-1-16-05-1723;0;1;3;44;1;8;6;4;67;129
00-1-16-05-1724;1;0;5;57;1;3;4;46;117;199
00-1-16-05-1725;2;4;12;75;20;19;62;74;268;438
00-1-16-05-1726;5;18;14;90;6;30;16;17;196;324
00-1-16-05-1727;1;1;2;17;1;2;4;14;42;71
00-1-17-01-1728;3;30;29;98;29;29;45;60;323;572
00-1-17-01-1729;4;55;41;99;30;19;63;80;391;572
00-1-17-01-1730;6;60;29;119;32;31;54;55;386;572
00-1-17-01-1731;5;45;19;122;31;23;54;64;363;572
00-1-17-01-1732;2;55;23;95;15;48;48;51;337;572
00-1-17-01-1733;2;61;26;92;41;22;44;71;359;572
