id_unidad;blanco_y_nulo;FA;Otros;PLN;PLP;PNR;PSD;PUSC;votos;habilitados
00-1-01-03-0036;2;26;26;98;22;52;42;30;298;542
00-1-01-03-0037;3;31;21;68;34;56;50;50;313;542
00-1-01-03-0038;7;19;29;74;40;47;42;33;291;542
00-1-01-03-0039;6;22;20;77;37;58;46;41;307;545
00-1-01-03-0040;3;26;32;76;36;46;50;35;304;573
00-1-01-03-0041;4;21;27;94;37;59;71;35;348;573
00-1-01-03-0042;2;32;23;82;59;47;49;38;332;573
00-1-01-03-0043;2;23;25;89;29;63;47;45;323;573
00-1-01-03-0044;5;23;29;83;31;50;46;41;308;573
00-1-01-03-0045;8;41;22;86;45;52;44;34;332;573
00-1-01-03-0046;3;21;22;77;33;51;58;57;322;573
00-1-01-03-0047;5;31;28;114;33;55;38;35;339;573
00-1-01-03-0048;5;25;19;76;40;41;37;45;288;573
00-1-01-03-0049;3;23;29;98;33;60;59;24;329;573
00-1-01-03-0050;1;21;27;80;41;43;53;44;310;573
00-1-01-03-0051;6;30;32;86;51;73;41;38;357;573
00-1-01-03-0052;1;21;16;95;39;50;58;39;319;573
00-1-01-03-0053;3;25;25;96;53;50;46;45;343;573
00-1-01-03-0054;5;15;21;103;42;63;48;35;332;573
00-1-01-03-0055;5;22;24;76;30;48;42;48;295;588
00-1-01-03-0056;2;30;25;128;61;53;39;33;371;543
00-1-01-03-0057;2;30;14;128;50;29;51;30;334;543
00-1-01-03-0058;4;29;14;122;77;44;38;41;369;543
00-1-01-03-0059;2;29;20;81;58;46;49;47;332;543
00-1-01-03-0060;0;38;21;94;69;32;45;36;335;545
00-1-01-03-0061;0;1;4;12;0;1;1;0;19;252
00-1-01-04-0062;5;21;28;76;37;25;50;27;269;520
00-1-01-04-0063;2;24;19;86;46;22;37;31;267;520
00-1-01-04-0064;2;23;17;75;36;26;47;27;253;520
00-1-01-04-0065;3;44;20;108;60;41;44;41;361;605
00-1-01-04-0066;0;32;38;132;52;38;55;40;387;605
00-1-01-04-0067;4;40;23;100;53;49;71;41;381;605
00-1-01-04-0068;2;35;24;112;63;42;56;42;376;605
00-1-01-04-0069;0;36;32;109;58;49;58;35;377;605
00-1-01-04-0070;5;37;24;100;51;34;48;43;342;605
00-1-01-04-0071;1;43;27;125;52;40;48;50;386;605
00-1-01-04-0072;2;48;24;112;52;40;45;40;363;605
00-1-01-04-0073;3;32;26;115;61;40;45;61;383;605
00-1-01-04-0074;3;42;23;98;59;53;57;38;373;605
00-1-01-04-0075;2;38;31;111;54;46;48;39;369;610
00-1-01-04-0076;0;39;21;81;44;35;44;35;299;461
00-1-01-04-0077;1;37;35;78;40;41;29;24;285;461
00-1-01-04-0078;3;25;30;91;35;32;46;34;296;461
00-1-01-04-0079;0;37;27;78;46;32;50;40;310;463
00-1-01-04-0080;4;30;27;120;50;26;77;44;378;572
00-1-01-04-0081;0;36;24;127;60;34;52;42;375;572
00-1-01-04-0082;4;39;24;131;50;19;58;37;362;572
00-1-01-04-0083;4;50;35;105;64;41;42;37;378;572
00-1-01-04-0084;1;51;20;117;62;26;49;35;361;572
00-1-01-04-0085;3;52;14;116;66;23;56;36;366;572
00-1-01-04-0086;2;55;19;89;65;35;62;40;367;572
00-1-01-04-0087;0;44;21;106;65;38;54;38;366;572
00-1-01-04-0088;4;51;35;99;51;39;54;38;371;578
00-1-01-05-0089;3;41;34;157;72;34;60;37;438;600
00-1-01-05-0090;1;34;31;128;70;39;63;36;402;600
